"filename", "language", "Properties", "JSON", "Python", "TypeScript", "JSON with Comments", "Markdown", "Vue", "XML", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\.env", "Properties", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\package-lock.json", "JSON", 0, 2878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2879
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\public\assets\costume.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\public\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\assets\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\copyText.vue", "Vue", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameContent.vue", "Vue", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 29, 198
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 25, 168
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 5, 58, 425
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameProgress.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameSideInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 9, 7, 83
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameSlot.vue", "Vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\joinRoom.vue", "Vue", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 74
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\mainGame.vue", "Vue", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 5, 8, 75
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\composables\useDraggable.ts", "TypeScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 3, 18, 138
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\composables\useMouseUpdate.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\composables\useZoomable.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\game\game.ts", "TypeScript", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 18, 65, 399
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\main.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\router\index.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\stores\game.ts", "TypeScript", 0, 0, 0, 426, 0, 0, 0, 0, 0, 0, 0, 12, 59, 497
